YEAR,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS,CO2_PER_FLIGHT
2018,MONTENEGRO,14105.0,152516.484,9.731320536405224
2018,NETHERLANDS,560167.0,11305351.253,20.206515555924923
2018,NORWAY,734691.0,3129712.299,4.2582037951660245
2018,POLAND,428503.0,3072056.146,7.141533971169672
2018,PORTUGAL,431889.0,4907132.101,11.338743771324493
2018,ROMANIA,127414.0,1412622.346,11.061060875854706
2018,SERBIA,66466.0,415187.436,6.22775448490307
2018,SLOVAKIA,23906.0,188553.329,7.659342222397179
2018,SLOVENIA,35478.0,125559.104,3.513427764202969
2018,SPAIN,2072032.0,17638944.754,8.459000575022374
2018,SWEDEN,370848.0,3347010.9220000003,9.055973618745865
2018,SWITZERLAND,458278.0,5722354.062,12.487234178550159
2018,TÜRKIYE,1067308.0,15436169.565,14.391045607380626
2018,UNITED KINGDOM,2126049.0,36993445.279,17.420259427061087
2019,ALBANIA,28500.0,165718.703,5.765086328697777
2019,ARMENIA,25556.0,261487.757,10.241393965392405
2019,AUSTRIA,365761.0,3114972.593,8.500715979102967
2019,BELGIUM,339194.0,4879818.683,14.425371142596427
2019,BOSNIA AND HERZEGOVINA,12918.0,118823.819,8.76691242680045
2019,BULGARIA,60266.0,799939.346,12.924019493332581
2019,CROATIA,45216.0,709589.345,14.587661614313028
2019,CYPRUS,80335.0,1051496.169,12.882690216917624
2019,DENMARK,263434.0,3100760.339,11.760395861150345
2019,ESTONIA,45534.0,210027.185,4.610285004474927
2019,FINLAND,194634.0,2675334.307,13.759641066461178
2019,FRANCE,1877249.0,22402052.039,11.97050892437246
2019,GEORGIA,36165.0,479477.899,13.256939526513788
2019,GERMANY,2128687.0,31089433.908,14.619751787641363
2019,GREECE,508450.0,4430024.401,8.102400845138225
2019,HUNGARY,122132.0,1102381.928,8.989831946595642
2019,IRELAND,301124.0,3304912.457,10.888799549752163
2019,ITALY,1231769.0,15106921.478,12.195606573521623
2019,LATVIA,87545.0,494257.553,5.633168325974586
2019,LITHUANIA,63338.0,393580.497,6.2041347482411995
2019,LUXEMBOURG,76300.0,1772959.277,23.34595921357055
2019,MALTA,58181.0,518275.666,8.86360502706277
2019,MONTENEGRO,14557.0,161402.083,10.047718137861231
2019,NETHERLANDS,558126.0,11144285.299,19.985906880773985
2019,NORWAY,726795.0,3113181.945,4.284008148966209
2019,POLAND,443679.0,3266974.861,7.337869560161683
2019,PORTUGAL,442585.0,5256608.541,11.863285271630163
2019,ROMANIA,129019.0,1474541.8530000001,11.385618539065582
2019,SERBIA,70978.0,441112.44,6.176634760366322
