YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS
2016,3,UNITED KINGDOM,158179.0,2740741.409
2016,4,ALBANIA,1680.0,8313.7
2016,4,ARMENIA,1237.0,13457.421
2016,4,AUSTRIA,26904.0,197370.663
2016,4,BELGIUM,22821.0,294373.968
2016,4,BOSNIA AND HERZEGOVINA,901.0,6025.433
2016,4,BULGARIA,3986.0,36412.102
2016,4,CANARY ISLANDS,,291822.775
2016,4,CROATIA,3229.0,27312.986
2016,4,CYPRUS,5095.0,69876.555
2016,4,CZECH REPUBLIC,11553.0,
2016,4,CZECHIA,,75359.236
2016,4,DENMARK,22229.0,237837.841
2016,4,ESTONIA,3203.0,
2016,4,FINLAND,14133.0,168156.303
2016,4,FRANCE,152978.0,1703102.748
2016,4,GEORGIA,1719.0,19515.373
2016,4,GERMANY,167265.0,2408619.732
2016,4,GREECE,26881.0,189094.502
2016,4,HUNGARY,8046.0,62272.969
2016,4,ICELAND,,27300.452
2016,4,IRELAND,22530.0,205957.193
2016,4,ITALY,91934.0,1031569.713
2016,4,KOSOVO,,8121.181
2016,4,LATVIA,5647.0,28787.07
2016,4,LITHUANIA,4432.0,25816.584
2016,4,LUXEMBOURG,5597.0,114701.198
2016,4,MALTA,3746.0,33865.948000000004
2016,4,MOLDOVA,1584.0,
2016,4,"MOLDOVA, REPUBLIC OF",,10372.451
2016,4,MONACO,,28.835
2016,4,MONTENEGRO,839.0,6065.049
2016,4,NETHERLANDS,44605.0,892236.078
2016,4,NORTH MACEDONIA,,8115.657
2016,4,NORWAY,40139.0,238984.793
2016,4,POLAND,28130.0,169430.482
2016,4,PORTUGAL,30554.0,320997.982
2016,4,REPUBLIC OF NORTH MACEDONIA,1235.0,
2016,4,ROMANIA,8941.0,90234.487
2016,4,SERBIA,5005.0,26959.097
2016,4,SLOVAKIA,1511.0,10180.325
2016,4,SLOVENIA,2440.0,7531.893
2016,4,SPAIN,150503.0,1229220.534
2016,4,SWEDEN,31150.0,255050.113
2016,4,SWITZERLAND,36488.0,423851.717
2016,4,TÜRKIYE,79718.0,1078637.647
2016,4,UKRAINE,5499.0,
2016,4,UNITED KINGDOM,164399.0,2866744.379
2016,5,ALBANIA,1710.0,8408.82
2016,5,ARMENIA,1352.0,14557.505
2016,5,AUSTRIA,28923.0,219068.018
2016,5,BELGIUM,29403.0,346790.83
2016,5,BOSNIA AND HERZEGOVINA,959.0,6529.859
2016,5,BULGARIA,4264.0,52988.402
2016,5,CANARY ISLANDS,,245063.617
2016,5,CROATIA,3590.0,48503.914
2016,5,CYPRUS,6941.0,98625.164
2016,5,CZECH REPUBLIC,12724.0,
2016,5,CZECHIA,,90528.801
2016,5,DENMARK,23374.0,249193.861
2016,5,ESTONIA,3444.0,
2016,5,FINLAND,14880.0,183943.377
2016,5,FRANCE,165572.0,1769005.149
2016,5,GEORGIA,1971.0,23020.509
2016,5,GERMANY,178676.0,2579277.021
2016,5,GREECE,42387.0,371601.874
2016,5,HUNGARY,8576.0,66530.548
2016,5,ICELAND,,42463.028
2016,5,IRELAND,24953.0,242264.982
2016,5,ITALY,102369.0,1151841.948
2016,5,KOSOVO,,8016.288
2016,5,LATVIA,5982.0,32020.739
2016,5,LITHUANIA,4832.0,28248.343
2016,5,LUXEMBOURG,5707.0,113876.49
2016,5,MALTA,4193.0,37349.001
2016,5,MOLDOVA,1899.0,
2016,5,"MOLDOVA, REPUBLIC OF",,12864.163
2016,5,MONACO,,40.569
2016,5,MONTENEGRO,976.0,8443.651
2016,5,NETHERLANDS,48670.0,950495.433
2016,5,NORTH MACEDONIA,,8811.214
2016,5,NORWAY,40943.0,252715.966
2016,5,POLAND,30583.0,197830.897
2016,5,PORTUGAL,33601.0,351944.433
2016,5,REPUBLIC OF NORTH MACEDONIA,1282.0,
2016,5,ROMANIA,9333.0,94078.476
2016,5,SERBIA,5423.0,28380.197
2016,5,SLOVAKIA,1639.0,11158.044
2016,5,SLOVENIA,2667.0,8149.81
2016,5,SPAIN,168146.0,1420620.355
2016,5,SWEDEN,32458.0,269418.717
2016,5,SWITZERLAND,38929.0,450278.581
2016,5,TÜRKIYE,87336.0,1197812.21
2016,5,UKRAINE,6177.0,
2016,5,UNITED KINGDOM,181468.0,3157258.784
2016,6,ALBANIA,1720.0,9231.455
2016,6,ARMENIA,1437.0,14886.919
2016,6,AUSTRIA,29254.0,219460.242
2016,6,BELGIUM,29519.0,342865.749
2016,6,BOSNIA AND HERZEGOVINA,908.0,6849.860000000001
2016,6,BULGARIA,4376.0,95641.023
2016,6,CANARY ISLANDS,,251045.137
2016,6,CROATIA,3632.0,63106.213
2016,6,CYPRUS,7412.0,104355.287
2016,6,CZECH REPUBLIC,14649.0,
2016,6,CZECHIA,,108551.163
2016,6,DENMARK,24030.0,268200.884
2016,6,ESTONIA,3440.0,
2016,6,FINLAND,14089.0,178331.787
2016,6,FRANCE,169959.0,1809564.881
2016,6,GEORGIA,1961.0,24338.422
2016,6,GERMANY,182665.0,2586848.512
2016,6,GREECE,52506.0,476630.567
2016,6,HUNGARY,8713.0,70284.211
2016,6,ICELAND,,57544.6
2016,6,IRELAND,26226.0,271034.422
2016,6,ITALY,104086.0,1222773.68
2016,6,KOSOVO,,8625.852
2016,6,LATVIA,6182.0,35745.762
2016,6,LITHUANIA,4837.0,28393.44
2016,6,LUXEMBOURG,5916.0,113776.281
2016,6,MALTA,4264.0,37844.173
2016,6,MOLDOVA,2050.0,
2016,6,"MOLDOVA, REPUBLIC OF",,13939.982
2016,6,MONACO,,30.518
2016,6,MONTENEGRO,1194.0,18343.142
2016,6,NETHERLANDS,47876.0,916924.048
2016,6,NORTH MACEDONIA,,9047.108
2016,6,NORWAY,41387.0,270932.682
2016,6,POLAND,33443.0,221721.23
2016,6,PORTUGAL,34591.0,372051.718
2016,6,REPUBLIC OF NORTH MACEDONIA,1322.0,
2016,6,ROMANIA,9803.0,100028.387
2016,6,SERBIA,5893.0,31532.293
2016,6,SLOVAKIA,2198.0,16007.747
2016,6,SLOVENIA,2791.0,9434.754
2016,6,SPAIN,175501.0,1502969.453
2016,6,SWEDEN,30460.0,272449.857
2016,6,SWITZERLAND,38908.0,455865.015
2016,6,TÜRKIYE,84133.0,1168310.506
2016,6,UKRAINE,6650.0,
2016,6,UNITED KINGDOM,184090.0,3203058.647
2016,7,ALBANIA,2104.0,11223.878
2016,7,ARMENIA,1775.0,18402.017
2016,7,AUSTRIA,29832.0,237122.103
2016,7,BELGIUM,30503.0,371984.749
2016,7,BOSNIA AND HERZEGOVINA,1114.0,9742.863
2016,7,BULGARIA,4620.0,119377.419
2016,7,CANARY ISLANDS,,286471.42
2016,7,CROATIA,3831.0,82035.956
2016,7,CYPRUS,8718.0,116765.567
2016,7,CZECH REPUBLIC,15145.0,
2016,7,CZECHIA,,120176.86
2016,7,DENMARK,23036.0,291176.617
2016,7,ESTONIA,3296.0,
2016,7,FINLAND,13204.0,180526.932
2016,7,FRANCE,177065.0,1987649.809
2016,7,GEORGIA,2459.0,30991.258
2016,7,GERMANY,183589.0,2726175.989
2016,7,GREECE,64111.0,577684.483
2016,7,HUNGARY,9120.0,76322.79000000001
2016,7,ICELAND,,61039.308
