YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2024,1,ALBANIA,LA,31794.96604,2361,FALSE
2024,1,ARMENIA,UD,32063.97964,1483,FALSE
2024,1,AUSTRIA,LO,193187.60464,11713,FALSE
2024,1,BELGIUM,EB,386063.10958,10863,FALSE
2024,1,BOSNIA AND HERZEGOVINA,LQ,6323.28372,647,FALSE
2024,1,BULGARIA,LB,49614.8443,3000,FALSE
2024,1,CANARY ISLANDS,GC,348705.64492,18282,FALSE
2024,1,CROATIA,LD,19235.91218,2527,FALSE
2024,1,CYPRUS,LC,54422.00752,2590,FALSE
2024,1,CZECHIA,LK,74153.95156,4545,FALSE
2024,1,DENMARK,EK,189054.57928,11033,TRUE
2024,1,ESTONIA,EE,13380.41518,1475,FALSE
2024,1,FINLAND,EF,186524.30564,8414,FALSE
2024,1,FRANCE,LF,1516420.78958,58706,FALSE
2024,1,GEORGIA,UG,45993.77472,2110,FALSE
2024,1,GERMANY,ED,1969427.40462,63889,FALSE
2024,1,GREECE,LG,134235.35862,12911,FALSE
2024,1,HUNGARY,LH,87271.93454,4605,FALSE
2024,1,ICELAND,BI,27264.75682,1529,FALSE
2024,1,IRELAND,EI,199908.32128,10281,FALSE
2024,1,ITALY,LI,985605.50416,55830,FALSE
2024,1,KOSOVO,BK,15552.651,1068,FALSE
2024,1,LATVIA,EV,26474.11576,2105,FALSE
2024,1,LITHUANIA,EY,26804.38566,2089,FALSE
2024,1,LUXEMBOURG,EL,140706.1974,2409,FALSE
2024,1,MALTA,LM,32781.5693,2139,FALSE
2024,1,"MOLDOVA, REPUBLIC OF",LU,14108.903900000001,921,FALSE
2024,1,MONACO,LN,9.60008,15,FALSE
2024,1,MONTENEGRO,LY,4616.90352,594,FALSE
2024,1,NETHERLANDS,EH,798778.39014,23090,FALSE
2024,1,NORTH MACEDONIA,LW,13302.14278,958,FALSE
2024,1,NORWAY,EN,185301.36454,23683,TRUE
2024,1,POLAND,EP,268350.4039,16464,FALSE
2024,1,PORTUGAL,LP,383701.41658,16329,TRUE
2024,1,ROMANIA,LR,108854.27324,7753,FALSE
2024,1,SERBIA,LY,44631.789000000004,3448,FALSE
2024,1,SLOVAKIA,LZ,8088.59,870,FALSE
2024,1,SLOVENIA,LJ,5868.45128,809,FALSE
2024,1,SPAIN,LE,1228109.36604,56417,FALSE
2024,1,SWEDEN,ES,165983.54958,14281,FALSE
2024,1,SWITZERLAND,LS,424250.38508,18717,FALSE
2024,1,TÜRKIYE,LT,1345968.66052,49354,FALSE
2024,1,UNITED KINGDOM,EG,2594420.43276,77121,TRUE
2024,2,ALBANIA,LA,28513.3278,2052,FALSE
2024,2,ARMENIA,UD,25702.40352,1180,FALSE
2024,2,AUSTRIA,LO,187551.0186,11876,FALSE
2024,2,BELGIUM,EB,364076.82506,10817,FALSE
2024,2,BOSNIA AND HERZEGOVINA,LQ,5685.01652,586,FALSE
2024,2,BULGARIA,LB,41680.02718,2749,FALSE
2024,2,CANARY ISLANDS,GC,344396.49838,18402,FALSE
2024,2,CROATIA,LD,17855.921000000002,2350,FALSE
2024,2,CYPRUS,LC,51287.93098,2433,FALSE
2024,2,CZECHIA,LK,74810.3606,4785,FALSE
2024,2,DENMARK,EK,184332.21542,11623,TRUE
2024,2,ESTONIA,EE,12637.66706,1404,FALSE
2024,2,FINLAND,EF,170822.68066,7889,FALSE
2024,2,FRANCE,LF,1462397.26974,60355,FALSE
2024,2,GEORGIA,UG,39144.92344,1858,FALSE
2024,2,GERMANY,ED,1870139.40592,65455,FALSE
2024,2,GREECE,LG,128297.47864,12344,FALSE
2024,2,HUNGARY,LH,84800.81702,4345,FALSE
2024,2,ICELAND,BI,23772.98144,1502,FALSE
2024,2,IRELAND,EI,189484.88018,10017,FALSE
2024,2,ITALY,LI,920419.98998,52863,FALSE
2024,2,KOSOVO,BK,12499.48428,867,FALSE
2024,2,LATVIA,EV,24301.49464,1936,FALSE
2024,2,LITHUANIA,EY,24452.68564,1919,FALSE
2024,2,LUXEMBOURG,EL,122172.85938,2349,FALSE
2024,2,MALTA,LM,29569.51006,1999,FALSE
2024,2,"MOLDOVA, REPUBLIC OF",LU,12839.65182,869,FALSE
2024,2,MONACO,LN,15.484,28,FALSE
2024,2,MONTENEGRO,LY,4341.83844,559,FALSE
2024,2,NETHERLANDS,EH,767605.8331,22944,FALSE
2024,2,NORTH MACEDONIA,LW,9684.19288,779,FALSE
2024,2,NORWAY,EN,189099.43276,24110,TRUE
2024,2,POLAND,EP,250563.08872,16103,FALSE
2024,2,PORTUGAL,LP,371037.33872,16152,TRUE
2024,2,ROMANIA,LR,97091.51618,7299,FALSE
2024,2,SERBIA,LY,36790.8345,2902,FALSE
2024,2,SLOVAKIA,LZ,7655.69512,924,FALSE
2024,2,SLOVENIA,LJ,6473.23836,894,FALSE
2024,2,SPAIN,LE,1181158.34152,56441,FALSE
2024,2,SWEDEN,ES,165040.22094,14933,FALSE
2024,2,SWITZERLAND,LS,412252.544,18911,FALSE
2024,2,TÜRKIYE,LT,1250599.95774,47120,FALSE
2024,2,UNITED KINGDOM,EG,2480099.62732,78999,TRUE
2024,3,ALBANIA,LA,31740.80328,2259,FALSE
2024,3,ARMENIA,UD,29245.8894,1374,FALSE
2024,3,AUSTRIA,LO,212840.92572,12941,FALSE
2024,3,BELGIUM,EB,415748.93678,11981,FALSE
2024,3,BOSNIA AND HERZEGOVINA,LQ,5815.19984,616,FALSE
2024,3,BULGARIA,LB,51081.80816,3112,FALSE
2024,3,CANARY ISLANDS,GC,386711.50334,21016,FALSE
2024,3,CROATIA,LD,23326.73368,2836,FALSE
2024,3,CYPRUS,LC,63926.54666,3034,FALSE
2024,3,CZECHIA,LK,87938.56972,5736,FALSE
2024,3,DENMARK,EK,212891.12246,13099,TRUE
2024,3,ESTONIA,EE,15435.983400000001,1623,FALSE
2024,3,FINLAND,EF,176603.26256,8592,FALSE
2024,3,FRANCE,LF,1644177.31596,69722,FALSE
2024,3,GEORGIA,UG,44771.46832,2098,FALSE
2024,3,GERMANY,ED,2124996.75302,75281,FALSE
2024,3,GREECE,LG,163265.0895,14632,FALSE
2024,3,HUNGARY,LH,99901.07604,5112,FALSE
2024,3,ICELAND,BI,32024.07764,1716,FALSE
2024,3,IRELAND,EI,247130.37706,11745,FALSE
2024,3,ITALY,LI,1088948.79232,61392,FALSE
2024,3,KOSOVO,BK,13742.91268,957,FALSE
2024,3,LATVIA,EV,32354.04374,2451,FALSE
2024,3,LITHUANIA,EY,29808.6573,2355,FALSE
2024,3,LUXEMBOURG,EL,158170.72964,2845,FALSE
2024,3,MALTA,LM,37338.0292,2433,FALSE
2024,3,"MOLDOVA, REPUBLIC OF",LU,14588.24028,999,FALSE
2024,3,MONACO,LN,13.983,26,FALSE
2024,3,MONTENEGRO,LY,5133.95404,650,FALSE
2024,3,NETHERLANDS,EH,832033.16832,25813,FALSE
2024,3,NORTH MACEDONIA,LW,10740.34166,842,FALSE
2024,3,NORWAY,EN,213794.6877,26044,TRUE
2024,3,POLAND,EP,292059.8658,18145,FALSE
2024,3,PORTUGAL,LP,431759.1961,18865,TRUE
2024,3,ROMANIA,LR,108679.765,8132,FALSE
2024,3,SERBIA,LY,40185.31028,3257,FALSE
2024,3,SLOVAKIA,LZ,9040.736,984,FALSE
2024,3,SLOVENIA,LJ,7095.23536,924,FALSE
2024,3,SPAIN,LE,1357114.97994,65436,FALSE
2024,3,SWEDEN,ES,190982.10434,16592,FALSE
2024,3,SWITZERLAND,LS,452939.73452,20266,FALSE
2024,3,TÜRKIYE,LT,1376166.49264,50059,FALSE
2024,3,UNITED KINGDOM,EG,2767652.5825,88520,TRUE
2024,4,ALBANIA,LA,38674.70596,2785,FALSE
2024,4,ARMENIA,UD,31200.20312,1452,FALSE
2024,4,AUSTRIA,LO,221035.40994,13400,FALSE
2024,4,BELGIUM,EB,451245.39102,13048,FALSE
2024,4,BOSNIA AND HERZEGOVINA,LQ,9408.5149,845,FALSE
2024,4,BULGARIA,LB,50872.0577,3294,FALSE
2024,4,CANARY ISLANDS,GC,311172.204,18710,FALSE
2024,4,CROATIA,LD,51367.09396,5041,FALSE
2024,4,CYPRUS,LC,90612.0279,4132,FALSE
2024,4,CZECHIA,LK,89128.18034,6129,FALSE
2024,4,DENMARK,EK,230224.53798,14999,TRUE
2024,4,ESTONIA,EE,19158.12244,1896,FALSE
2024,4,FINLAND,EF,171000.52756,8097,FALSE
2024,4,FRANCE,LF,1737232.27076,74979,FALSE
2024,4,GEORGIA,UG,50591.9125,2308,FALSE
2024,4,GERMANY,ED,2306111.02974,84030,FALSE
2024,4,GREECE,LG,317632.21896,21603,FALSE
2024,4,HUNGARY,LH,106685.2914,5556,FALSE
2024,4,ICELAND,BI,36239.00004,1800,FALSE
2024,4,IRELAND,EI,270262.92338,12694,FALSE
2024,4,ITALY,LI,1305409.24428,74097,FALSE
